,2.5,3.0,3.5,4.0,4.5,5.0,5.5
6%,-342085.54251487873,-492085.54251487873,-642085.5425148788,-792085.5425148788,-942085.5425148788,-1092085.5425148788,-1242085.5425148788
7%,-367467.611785416,-517467.611785416,-667467.611785416,-817467.611785416,-967467.611785416,-1117467.611785416,-1267467.611785416
8%,-390501.8951070925,-540501.8951070926,-690501.8951070926,-840501.8951070926,-990501.8951070926,-1140501.8951070926,-1290501.8951070926
9%,-411451.08594612184,-561451.0859461218,-711451.0859461218,-861451.0859461218,-1011451.0859461218,-1161451.0859461217,-1311451.0859461217
10%,-430544.6607350488,-580544.6607350488,-730544.6607350488,-880544.6607350488,-1030544.6607350488,-1180544.6607350488,-1330544.6607350488
11%,-447983.47781193967,-597983.4778119397,-747983.4778119397,-897983.4778119397,-1047983.4778119397,-1197983.4778119395,-1347983.4778119395
12%,-463943.69144246966,-613943.6914424696,-763943.6914424696,-913943.6914424696,-1063943.6914424696,-1213943.6914424696,-1363943.6914424696
13%,-478580.08942273055,-628580.0894227305,-778580.0894227305,-928580.0894227305,-1078580.0894227305,-1228580.0894227305,-1378580.0894227305
14%,-492028.9446207475,-642028.9446207476,-792028.9446207476,-942028.9446207476,-1092028.9446207476,-1242028.9446207476,-1392028.9446207476
