state_name,res_cap,hydro_cap,total_cap,renewable_share,res_gw,hydro_gw,readiness_score
Karnataka,20228.44,3689.2,34672.89,0.5834079593596034,20.22844,3.6892,90.83333333333331
Rajasthan,33725.34,411.0,47119.17,0.7157456296450043,33.725339999999996,0.411,90.41666666666666
Gujarat,31403.03,1990.0,58221.44,0.5393722656121182,31.403029999999998,1.99,85.97222222222221
Tamil Nadu,23112.47,2178.2,43132.05,0.5358537328969989,23.112470000000002,2.1782,84.44444444444446
Maharashtra,19354.460000000003,3047.0,51674.55,0.3745453032488914,19.354460000000003,3.047,80.13888888888889
Andhra Pradesh,10504.48,1610.0,30019.82,0.34991815407287585,10.50448,1.61,74.44444444444444
Kerala,1889.23,1964.15,4546.92,0.41549664388201246,1.88923,1.96415,71.94444444444444
Telangana,5282.740000000001,2405.6,17930.84,0.2946175416210284,5.28274,2.4055999999999997,70.27777777777777
Madhya Pradesh,8592.699999999999,2235.0,32827.7,0.2617515086344764,8.592699999999999,2.235,69.16666666666667
Chandigarh,78.85,0.0,78.85,1.0,0.07884999999999999,0.0,61.111111111111114
