state_name,coal_cap,gas_cap,diesel_cap,lignite_cap,nuclear_cap,hydro_cap,res_cap,total_cap,renewable_share
Rajasthan,9200.0,1022.8299999999999,0.0,1580.0,1180.0,411.0,33725.34,47119.17,0.7157456296450043
Gujarat,14692.0,6896.41,0.0,1400.0,1840.0,1990.0,31403.03,58221.44,0.5393722656121182
Tamil Nadu,10522.5,1027.18,211.7,3640.0,2440.0,2178.2,23112.47,43132.05,0.5358537328969989
Karnataka,9480.0,370.05,25.2,0.0,880.0,3689.2,20228.44,34672.89,0.5834079593596034
Maharashtra,24666.010000000002,3207.08,0.0,0.0,1400.0,3047.0,19354.460000000003,51674.55,0.3745453032488914
Andhra Pradesh,13190.0,4678.54,36.8,0.0,0.0,1610.0,10504.48,30019.82,0.34991815407287585
Madhya Pradesh,22000.0,0.0,0.0,0.0,0.0,2235.0,8592.699999999999,32827.7,0.2617515086344764
Uttar Pradesh,28035.0,1493.14,0.0,0.0,440.0,501.6,5722.31,36192.049999999996,0.15810958483976456
Telangana,10242.5,0.0,0.0,0.0,0.0,2405.6,5282.740000000001,17930.84,0.2946175416210284
Haryana,5330.0,431.59,0.0,0.0,0.0,0.0,2449.94,8211.53,0.2983536563831588
